region1,region2,rtt,bw,value,abb1,abb2,label,level
northamerica-northeast1-a,client-europe-west3-c,88.404,259.0,88.407861003861,northamerica,europe,False,1
us-east1-b,client-europe-west2-c,88.74799999999999,259.0,88.751861003861,us,europe,False,1
europe-west1-b,client-northamerica-northeast2-a,88.97,253.0,88.97395256916995,europe,northamerica,False,1
us-west1-b,client-asia-northeast1-b,89.166,243.0,89.17011522633744,us,asia,False,1
northamerica-northeast2-a,client-europe-west1-b,89.415,256.0,89.41890625,northamerica,europe,False,1
asia-southeast2-a,client-asia-northeast1-b,89.745,254.0,89.74893700787402,asia,asia,True,1
asia-east2-a,client-asia-south1-c,90.62899999999999,264.0,90.63278787878787,asia,asia,True,1
europe-west1-b,client-us-east1-b,91.406,248.0,91.41003225806452,europe,us,False,1
us-east1-b,client-europe-west1-b,91.499,248.0,91.50303225806451,us,europe,False,1
europe-west4-a,client-northamerica-northeast2-a,91.758,246.0,91.7620650406504,europe,northamerica,False,1
asia-northeast1-b,client-us-west1-b,91.949,250.0,91.953,asia,us,False,1
northamerica-northeast2-a,client-europe-west4-a,92.711,248.0,92.71503225806451,northamerica,europe,False,1
asia-northeast2-a,client-asia-southeast2-a,93.324,241.0,93.32814937759336,asia,asia,True,1
australia-southeast1-b,client-asia-southeast1-b,93.361,244.0,93.36509836065574,australia,asia,False,1
asia-southeast2-a,client-asia-northeast2-a,93.70100000000001,244.0,93.70509836065574,asia,asia,True,1
us-east4-c,client-europe-west6-a,93.86399999999999,244.0,93.86809836065572,us,europe,False,1
europe-west6-a,client-us-east4-c,93.87100000000001,246.0,93.87506504065041,europe,us,False,1
europe-west6-a,client-northamerica-northeast1-a,94.137,244.0,94.14109836065573,europe,northamerica,False,1
northamerica-northeast1-a,client-europe-west6-a,94.727,242.0,94.73113223140496,northamerica,europe,False,1
europe-west3-c,client-northamerica-northeast2-a,94.795,237.0,94.7992194092827,europe,northamerica,False,1
europe-west2-c,client-us-central1-c,95.005,239.0,95.00918410041841,europe,us,False,1
us-central1-c,client-europe-west2-c,95.15100000000001,238.0,95.15520168067228,us,europe,False,1
asia-southeast1-b,client-australia-southeast1-b,95.56700000000001,248.0,95.57103225806452,asia,australia,False,1
us-east1-b,client-europe-west4-a,95.73,237.0,95.7342194092827,us,europe,False,1
europe-west3-c,client-us-east1-b,95.95100000000001,234.0,95.9552735042735,europe,us,False,1
europe-west4-a,client-us-east1-b,95.96700000000001,237.0,95.97121940928271,europe,us,False,1
northamerica-northeast2-a,client-europe-west3-c,96.005,237.0,96.0092194092827,northamerica,europe,False,1
us-east1-b,client-europe-west3-c,96.624,237.0,96.62821940928269,us,europe,False,1
asia-southeast2-a,client-australia-southeast2-a,96.837,220.0,96.84154545454545,asia,australia,False,1
australia-southeast2-a,client-asia-southeast2-a,98.191,237.0,98.1952194092827,australia,asia,False,1
southamerica-west1-b,client-us-east1-b,99.5,222.0,99.50450450450451,southamerica,us,False,1
europe-west1-b,client-us-central1-c,99.525,229.0,99.52936681222708,europe,us,False,1
us-central1-c,client-europe-west1-b,99.66799999999999,225.0,99.67244444444444,us,europe,False,1
us-west2-a,client-asia-northeast1-b,99.671,225.0,99.67544444444445,us,asia,False,1
asia-northeast2-a,client-us-west1-b,100.37899999999999,229.0,100.38336681222707,asia,us,False,2
us-west1-b,client-asia-northeast2-a,100.45299999999999,229.0,100.45736681222706,us,asia,False,2
asia-northeast1-b,client-us-west2-a,100.709,225.0,100.71344444444445,asia,us,False,2
us-east1-b,client-southamerica-west1-b,101.71,216.0,101.71462962962963,us,southamerica,False,2
europe-west6-a,client-us-east1-b,101.72399999999999,220.0,101.72854545454544,europe,us,False,2
europe-central2-a,client-us-east4-c,101.744,222.0,101.74850450450451,europe,us,False,2
us-east4-c,client-europe-central2-a,101.834,224.0,101.8384642857143,us,europe,False,2
northamerica-northeast2-a,client-europe-west6-a,102.39,222.0,102.39450450450451,northamerica,europe,False,2
europe-west6-a,client-northamerica-northeast2-a,102.469,220.0,102.47354545454544,europe,northamerica,False,2
us-east1-b,client-europe-west6-a,102.488,221.0,102.49252488687783,us,europe,False,2
northamerica-northeast1-a,client-europe-central2-a,103.036,219.0,103.04056621004567,northamerica,europe,False,2
europe-west4-a,client-us-central1-c,103.34299999999999,221.0,103.34752488687782,europe,us,False,2
europe-central2-a,client-northamerica-northeast1-a,103.432,218.0,103.43658715596331,europe,northamerica,False,2
asia-east1-b,client-asia-south1-c,104.166,209.0,104.17078468899521,asia,asia,True,2
europe-north1-a,client-us-east4-c,104.348,216.0,104.35262962962963,europe,us,False,2
us-east4-c,client-europe-north1-a,105.137,217.0,105.14160829493088,us,europe,False,2
europe-west3-c,client-us-central1-c,105.719,214.0,105.72367289719625,europe,us,False,2
southamerica-west1-b,client-us-west2-a,106.465,212.0,106.46971698113208,southamerica,us,False,2
us-west2-a,client-southamerica-west1-b,106.505,212.0,106.50971698113207,us,southamerica,False,2
asia-northeast2-a,client-us-west2-a,106.906,211.0,106.9107393364929,asia,us,False,2
us-west2-a,client-asia-northeast2-a,106.994,211.0,106.99873933649289,us,asia,False,2
asia-northeast1-b,client-us-west4-a,106.999,215.0,107.00365116279069,asia,us,False,2
us-west4-a,client-asia-northeast1-b,107.10700000000001,215.0,107.11165116279071,us,asia,False,2
